ti:688261167,31,834,chr22,32441766,32440964,10,1,98.632,793,804,834,0.0
ti:728917751,60,770,chrY,22721073,22720365,18,3,96.634,689,713,770,0.0
ti:603026949,27,794,chr5,132291716,132292484,11,3,97.925,755,771,794,0.0
ti:603768109,23,807,chrY,23761564,23760784,156,20,77.136,614,796,807,6.62e-155
ti:687787012,68,772,chr16,25919350,25920055,6,1,99.008,699,706,772,0.0
ti:687237326,65,752,chr14,53931411,53930724,10,0,98.547,678,688,752,0.0
ti:648247120,21,817,chr19,54751201,54751992,15,5,97.491,777,797,817,0.0
ti:606986225,60,225,chr2,234890962,234890797,8,0,95.181,158,166,225,2.25e-67
ti:604925272,31,743,chr11,131516124,131515449,17,4,92.157,658,714,743,0.0
ti:606984955,31,788,chr6,132355582,132354825,9,0,98.813,749,758,788,0.0
ti:603025425,69,766,chr21,35450229,35449528,12,4,97.159,684,704,766,0.0
ti:607220520,30,796,chr6,41195718,41194981,62,9,86.917,671,772,796,0.0
ti:631176795,30,828,chr4,123965184,123965971,9,3,97.497,779,799,828,0.0
ti:691715513,61,263,chr15,43571493,43571291,5,0,97.537,198,203,263,8.47e-91
ti:631176883,27,774,chr6,132479926,132479179,19,0,97.460,729,748,774,0.0
ti:686791038,1,243,chr7,91035943,91036185,58,0,76.132,185,243,248,1.10e-41
ti:631046650,1,515,chr22,17278337,17278848,3,2,98.835,509,515,515,0.0
ti:631080352,1,560,chr22,24406675,24406116,7,0,98.750,553,560,560,0.0
ti:714307318,29,798,chrY,19749293,19748526,61,4,91.569,706,771,798,0.0
ti:631047264,24,333,chr22,23269069,23269377,5,1,98.065,304,310,335,1.06e-145
ti:611509903,61,815,chr5,132322522,132323275,13,5,97.622,739,757,815,0.0
ti:712576540,31,812,chr6,132571548,132570769,8,2,98.721,772,782,812,0.0
ti:688490188,31,812,chr2,234773597,234774377,7,3,98.723,773,783,812,0.0
ti:692491387,90,113,chr13,77604884,77604907,0,0,100.000,24,24,172,0.024
ti:611509961,64,809,chr5,131454681,131453935,3,1,99.465,743,747,809,0.0
ti:687243724,64,803,chrX,154034407,154033668,11,0,98.514,729,740,803,0.0
ti:631072898,15,331,chr22,19289791,19289486,3,4,94.969,302,318,714,3.96e-134
ti:607219702,64,797,chr6,132336699,132335966,17,0,97.684,717,734,797,0.0
ti:631173450,26,629,chrY,9388972,9389561,88,5,82.810,501,605,629,6.58e-169
ti:631172865,65,784,chr15,56569469,56568753,6,2,98.750,711,720,784,0.0
ti:691709300,5,323,chr6,108299407,108299087,7,2,96.584,311,322,323,1.19e-144
ti:648252386,30,597,chr22,32589539,32590104,20,2,96.127,546,568,597,0.0
ti:631070707,1,604,chr22,36436025,36436628,22,0,96.358,582,604,604,0.0
ti:611502733,309,808,chr6,108275701,108276200,11,0,97.800,489,500,808,0.0
ti:692030486,64,772,chr7,90838351,90837643,4,0,99.436,705,709,772,0.0
ti:691715281,67,742,chr8,119102092,119101418,9,3,98.227,665,677,742,0.0
ti:651178269,507,545,chr9,32029449,32029487,5,0,87.179,34,39,767,0.011
ti:742671805,61,795,chr14,54175730,54174998,13,1,97.959,720,735,795,0.0
ti:631082498,4,428,chr22,24513897,24514320,7,1,98.118,417,425,428,0.0
ti:692019559,732,773,chr2,220571714,220571671,4,2,86.364,38,44,807,0.012
ti:604925375,31,776,chrX,44015212,44014467,4,0,99.464,742,746,776,0.0
ti:650062610,1,450,chr19,51254607,51254166,16,3,94.235,425,451,450,0.0
ti:597498467,57,791,chr6,132291707,132292434,4,5,98.234,723,736,791,0.0
ti:603037280,83,257,chr20,34301278,34301452,5,0,97.143,170,175,257,7.47e-76
ti:688251882,30,822,chrY,19811129,19810337,10,0,98.739,783,793,822,0.0
ti:651187753,1,437,chrX,123148377,123147943,19,5,94.305,414,439,437,0.0
ti:687784649,65,678,chr12,40245306,40244691,8,1,98.377,606,616,770,0.0
ti:614108748,12,423,chr20,43796736,43796323,8,2,97.585,404,414,423,0.0
ti:685474571,29,423,chrX,123063747,123064143,17,2,95.214,378,397,423,6.69e-174
ti:604929804,30,788,chr21,33829297,33828543,6,2,98.682,749,759,788,0.0
ti:688487667,31,785,chr17,33852665,33851914,9,3,98.411,743,755,785,0.0
