ti:411940863,47,825,ref|NC_072398.1|,50907304,50908081,0,1,99.872,778,779,825,0.0
ti:411816096,9,801,ref|NC_072410.1|,11853635,11854428,1,3,99.497,791,795,801,0.0
ti:411755749,9,729,ref|NC_072402.1|,42035261,42035977,2,4,99.168,715,721,729,0.0
ti:411205371,11,574,ref|NC_072401.1|,10391784,10391227,2,5,98.230,555,565,574,0.0
ti:411868427,9,871,ref|NC_072421.1|,78644499,78643621,5,15,97.611,858,879,876,0.0
ti:412079551,3,746,ref|NC_072406.1|,105816175,105815432,3,0,99.597,741,744,746,0.0
ti:412085054,1,293,ref|NC_072409.1|,34271650,34271941,8,1,96.928,284,293,293,6.21e-133
ti:411888620,9,752,ref|NC_072418.1|,56592267,56591524,3,0,99.597,741,744,752,0.0
ti:411958335,47,811,ref|NC_072418.1|,71762381,71761618,11,1,98.431,753,765,811,0.0
ti:411204624,43,940,ref|NC_072402.1|,67382031,67381124,5,12,98.130,892,909,942,0.0
ti:411836991,53,840,ref|NC_072398.1|,223289099,223288308,6,4,98.737,782,792,840,0.0
ti:412903139,1,835,ref|NC_072403.1|,150672063,150672902,7,5,98.335,827,841,835,0.0
ti:411189303,48,109,ref|NC_072422.1|,4556015,4556078,12,2,78.125,50,64,137,0.002
ti:410873391,5,883,ref|NC_072406.1|,121290617,121289734,1,5,99.321,878,884,883,0.0
ti:412889392,58,870,ref|NC_072405.1|,96505194,96506010,4,3,99.021,809,817,872,0.0
ti:411061072,52,593,ref|NC_072398.1|,49214776,49215318,0,1,99.816,542,543,593,0.0
ti:411081931,12,936,ref|NC_072406.1|,116818053,116818991,1,16,98.191,923,940,951,0.0
ti:412926936,51,695,ref|NC_072406.1|,100367088,100366409,2,1,94.559,643,680,695,0.0
ti:412888631,47,800,ref|NC_072407.1|,113036114,113035366,1,6,98.940,747,755,800,0.0
ti:412120298,9,796,ref|NC_072409.1|,29462510,29461733,6,10,97.970,772,788,797,0.0
ti:412137380,1,878,ref|NC_072402.1|,133470307,133471186,1,2,99.659,877,880,878,0.0
ti:412138904,58,904,ref|NC_072400.1|,47013317,47014169,0,6,99.297,847,853,904,0.0
ti:411930820,46,668,ref|NC_072406.1|,38934081,38934702,2,2,99.199,619,624,668,0.0
ti:411786438,1,882,ref|NC_072410.1|,15293666,15292784,3,1,99.547,879,883,882,0.0
ti:411741510,35,689,ref|NC_072409.1|,55350410,55349758,22,2,96.336,631,655,689,0.0
ti:412077239,58,807,ref|NC_072417.1|,65849129,65848386,12,6,97.600,732,750,814,0.0
ti:412127749,1,378,ref|NC_072399.1|,24220179,24219802,14,0,96.296,364,378,378,2.43e-172
ti:412073845,58,802,ref|NC_072422.1|,22190256,22190998,0,2,99.732,743,745,806,0.0
ti:411806457,10,578,ref|NC_072403.1|,164200812,164201380,10,2,97.895,558,570,578,0.0
ti:411798951,35,786,ref|NC_072406.1|,53205576,53204824,35,1,95.219,717,753,787,0.0
ti:412081013,8,744,ref|NC_072399.1|,42326565,42327302,1,1,99.729,736,738,744,0.0
ti:412089474,1,566,ref|NC_072400.1|,68833941,68834506,0,0,100.000,566,566,566,0.0
ti:411204249,2,60,ref|NC_072398.1|,41062740,41062806,5,7,80.597,54,67,125,0.016
ti:411858820,8,547,ref|NC_072414.1|,16633995,16634535,1,1,99.630,539,541,547,0.0
ti:411771894,12,895,ref|NC_072398.1|,174479329,174478435,2,11,98.547,882,895,898,0.0
ti:411883574,9,831,ref|NC_072411.1|,29697759,29698579,0,1,99.757,821,823,831,0.0
ti:410857261,3,125,ref|NC_072407.1|,100589169,100589047,13,0,89.431,110,123,125,9.11e-38
ti:411764138,6,790,ref|NC_072410.1|,81758804,81759584,6,10,97.970,772,788,790,0.0
ti:411741863,9,716,ref|NC_072411.1|,54363811,54364516,12,2,98.023,694,708,716,0.0
ti:411958062,58,874,ref|NC_072412.1|,33381098,33381915,3,1,99.511,814,818,874,0.0
ti:412915466,12,793,ref|NC_072409.1|,9285756,9284979,1,4,99.361,777,782,793,0.0
ti:411207351,144,739,ref|NC_072398.1|,90871277,90871872,1,0,99.832,595,596,739,0.0
ti:411075874,11,530,ref|NC_072399.1|,9369397,9369917,3,1,99.232,517,521,530,0.0
ti:412934230,1,815,ref|NC_072405.1|,112178519,112177701,1,4,99.389,814,819,815,0.0
ti:411168090,50,796,ref|NC_072406.1|,82069011,82068265,2,2,99.465,744,748,800,0.0
ti:411172531,10,663,ref|NC_072402.1|,133566613,133567265,3,1,99.388,650,654,663,0.0
ti:411960405,68,811,ref|NC_072398.1|,230737539,230736797,0,1,99.866,743,744,811,0.0
ti:411209701,61,325,ref|NC_072407.1|,71199882,71200166,3,20,91.930,262,285,325,2.02e-94
ti:411941325,57,860,ref|NC_072401.1|,21928325,21929129,0,1,99.876,804,805,860,0.0
ti:411947441,52,874,ref|NC_072412.1|,46074003,46074827,1,2,99.636,822,825,874,0.0
ti:410817320,143,695,ref|NC_072399.1|,31680923,31681475,0,0,100.000,553,553,695,0.0
ti:411853425,1,901,ref|NC_072411.1|,89737743,89736830,0,17,97.928,898,917,902,0.0
ti:411797386,58,799,ref|NC_072413.1|,16923064,16922326,0,3,99.596,739,742,807,0.0
ti:411904947,58,960,ref|NC_072404.1|,160465175,160466089,0,12,98.689,903,915,964,0.0
ti:412114068,52,751,ref|NC_072399.1|,33129507,33128809,0,1,99.857,699,700,751,0.0
ti:411842661,46,875,ref|NC_072421.1|,58953876,58954711,2,5,99.043,828,836,875,0.0
ti:412113070,8,779,ref|NC_072400.1|,139036505,139035739,1,5,99.223,766,772,779,0.0
ti:411863007,57,924,ref|NC_072398.1|,141768921,141769797,5,9,98.404,863,877,924,0.0
ti:411180877,9,928,ref|NC_072415.1|,63745812,63744872,0,19,97.768,920,941,929,0.0
ti:411161931,1,662,ref|NC_072414.1|,59786916,59787577,1,0,99.849,661,662,662,0.0
ti:411062507,9,792,ref|NC_072408.1|,114968291,114967509,0,1,99.872,783,784,792,0.0
ti:411219520,76,529,ref|NC_072405.1|,111779222,111778769,18,0,96.035,436,454,529,0.0
ti:412907802,12,664,ref|NC_072420.1|,27297176,27297824,0,2,99.387,649,653,664,0.0
ti:411939222,1,336,ref|NC_072422.1|,25159075,25159410,12,0,96.429,324,336,336,1.25e-152
ti:410859563,145,561,ref|NC_072417.1|,62367399,62366983,0,0,100.000,417,417,648,0.0
ti:411877361,11,851,ref|NC_072415.1|,66308855,66309700,0,5,99.409,841,846,854,0.0
ti:411176226,9,823,ref|NC_072403.1|,99061562,99062372,3,4,99.141,808,815,825,0.0
ti:410854116,58,867,ref|NC_072404.1|,109707075,109707894,1,9,98.659,809,820,913,0.0
ti:411852722,3,847,ref|NC_072398.1|,39038801,39037951,6,6,98.590,839,851,847,0.0
ti:412917825,57,730,ref|NC_072422.1|,29500149,29500823,2,1,99.556,672,675,730,0.0
ti:411753804,7,618,ref|NC_072404.1|,151422361,151422972,7,0,98.856,605,612,618,0.0
ti:411942650,1,785,ref|NC_072401.1|,147930615,147931397,1,3,99.364,781,786,785,0.0
ti:412941061,1,943,ref|NC_072408.1|,64891381,64892329,0,12,98.531,939,953,948,0.0
ti:410864758,1,423,ref|NC_072410.1|,61992781,61993203,29,2,92.689,393,424,431,2.81e-172
ti:411950367,51,780,ref|NC_072411.1|,104680492,104681220,0,1,99.863,729,730,780,0.0
ti:411198042,142,799,ref|NC_072416.1|,2282605,2283259,0,3,99.544,655,658,799,0.0
ti:411766646,58,921,ref|NC_072412.1|,91724973,91724100,1,8,98.741,863,874,921,0.0
ti:411939658,12,881,ref|NC_072400.1|,128397957,128398839,4,13,98.075,866,883,886,0.0
ti:412117385,44,679,ref|NC_072411.1|,47428232,47428868,2,1,99.529,634,637,679,0.0
ti:411880572,12,832,ref|NC_072404.1|,51224520,51225344,3,3,99.152,818,825,832,0.0
ti:411899468,12,965,ref|NC_072403.1|,155547435,155546459,5,22,97.134,949,977,965,0.0
ti:412950071,12,821,ref|NC_072405.1|,90083440,90082635,0,4,99.506,806,810,821,0.0
ti:411872262,1,837,ref|NC_072402.1|,85751405,85752253,1,11,98.469,836,849,837,0.0
ti:411824415,58,885,ref|NC_072416.1|,33916997,33917829,1,5,99.280,827,833,885,0.0
ti:410859955,144,857,ref|NC_072399.1|,32836999,32836279,1,7,98.890,713,721,863,0.0
ti:411803448,42,918,ref|NC_072402.1|,190860103,190859221,5,8,98.529,871,884,918,0.0
ti:411188299,12,769,ref|NC_072399.1|,63849498,63848742,1,1,99.736,756,758,769,0.0
ti:410820552,57,142,ref|NC_072404.1|,169466039,169466128,0,4,95.556,86,90,142,3.81e-29
ti:411851524,46,886,ref|NC_072418.1|,58271037,58271886,0,7,98.941,841,850,888,0.0
ti:411206137,1,668,ref|NC_072400.1|,40159726,40160389,2,2,99.102,662,668,668,0.0
ti:411954779,9,743,ref|NC_072403.1|,69912639,69913378,6,5,98.514,729,740,743,0.0
ti:411081152,6,782,ref|NC_072399.1|,13542993,13542219,4,2,99.228,771,777,784,0.0
ti:411823421,31,834,ref|NC_072421.1|,134873030,134872221,11,10,97.414,791,812,840,0.0
ti:412924940,42,813,ref|NC_072410.1|,52791387,52790617,4,3,99.094,766,773,815,0.0
ti:411813735,58,881,ref|NC_072406.1|,61446439,61445606,4,9,98.321,820,834,881,0.0
ti:411744316,52,834,ref|NC_072411.1|,107526123,107526907,0,2,99.745,783,785,834,0.0
ti:412118526,58,807,ref|NC_072410.1|,133022291,133023034,0,5,99.200,744,750,807,0.0
ti:412120701,58,914,ref|NC_072421.1|,128565156,128566020,1,8,98.960,856,865,914,0.0
ti:411057203,51,779,ref|NC_072409.1|,124628075,124628801,0,2,99.726,727,729,782,0.0
ti:411777006,1,204,ref|NC_072410.1|,111513558,111513354,11,1,94.146,193,205,206,7.87e-82
ti:411834918,12,837,ref|NC_072418.1|,21970234,21969405,2,4,99.277,824,830,840,0.0
ti:410842425,48,702,ref|NC_072401.1|,134394660,134394006,0,0,100.000,655,655,702,0.0
